NRO;ID_ESTABLECIMIENTO;NOMBRE_OFICIAL;COORDENADAS_X;COORDENADAS_Y;RED_DE_ATENCION;INSTITUCION;NIVEL_DE_ATENCION;TIPOLOGIA;CODIGO_PROVINCIA;PROVINCIA;CODIGO_CANTON;CANTON;CODIGO_PARROQUIA;PARROQUIA;HORARIO_DE_ATENCION;AÑO;MES;ATENCIONES_CONSULTA_EXTERNA ;ATENCIONES_EMERGENCIA;EGRESOS_HOSPITALARIO;ATENCIONES_DE_AMBULANCIA;CIRUGIAS;CAMAS_CENSABLES_DOTACION;PROMEDIO_DE_CAMAS_DE_DISP;INDICE_DE_OCUPACION_DE_CAMAS;GIRO_DE_CAMA;% _ABASTECIMIENTO >1MES_GENERAL_MEDIC;%_ABASTECIMIENTO >1MES_ESENCIALES_MEDIC;%_ABASTECIMIENTO >1MES_VITALES_MEDIC;%_ABASTECIMIENTO >1MES_GENERAL_(DISPOSITIVOS_MEDICOS);EJECUCION_PRESUPUESTARIA_PRESUPUESTO_EJECUTADO;EJECUCIÓN PRESUPUESTARIA - PRESUPUESTO ASIGNADO;%_EJECUCION_PRESUPUESTARIA_RESULTADO ((Presupuesto ejecutado / Presupuesto asignado) × 100);INDICE_DE_AUSENTISMO_PACIENTE;NUMERO_DE_PROFESIONALES_ACTUALES_OPERATIVO;NUMERO_DE_PROFESIONALES_ACTUALES_ADMINISTRATIVO;NUMERO_DE_PROFESIONALES_ACTUALES_ESPECIALIDAD;%_INDICE_DE_SATISFACCION_DEL_PACIENTE
1;170014;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - EL BATÁN;-78,473506;-0,161853;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170114;JIPIJAPA;06:00 - 22:00;2025;Enero;11256;6415;;29;142;;;;;80,41%;;;79%;4,12273E+16;7661740;5%;31%;162;79;;89,96%
2;170014;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - EL BATÁN;-78,473506;-0,161853;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170114;JIPIJAPA;06:00 - 22:00;2025;Febrero;10330;5545;;51;123;;;;;76,33%;;;74%;8,71506E+15;7,9291E+16;11%;25%;161;78;;89,96%
3;170014;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - EL BATÁN;-78,473506;-0,161853;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170114;JIPIJAPA;06:00 - 22:00;2025;Marzo;9992;6302;;31;108;;;;;75,51%;;;73%;1,36964E+16;7,9291E+16;17%;24%;161;79;;89,96%
4;170014;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - EL BATÁN;-78,473506;-0,161853;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170114;JIPIJAPA;06:00 - 22:00;2025;Abril;11471;5931;;39;142;;;;;73,77%;;;71%;1,8336E+16;7,93468E+16;23%;23%;161;79;;89,96%
5;170014;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - EL BATÁN;-78,473506;-0,161853;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170114;JIPIJAPA;06:00 - 22:00;2025;Mayo;11512;6704;;55;126;;;;;74,39%;;;69%;226923622;7,93468E+16;29%;24%;162;76;;89,96%
6;170014;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - EL BATÁN;-78,473506;-0,161853;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170114;JIPIJAPA;06:00 - 22:00;2025;Junio;11776;6348;;69;111;;;;;69,11%;;;66%;274773831;7,93468E+16;35%;25%;161;75;;89,96%
7;170014;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - EL BATÁN;-78,473506;-0,161853;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170114;JIPIJAPA;06:00 - 22:00;2025;Julio;11401;5656;;82;129;;;;;66,67%;;;61%;3,34086E+16;7,93468E+16;42%;23%;162;74;;89,96%
8;170014;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - EL BATÁN;-78,473506;-0,161853;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170114;JIPIJAPA;06:00 - 22:00;2025;Agosto;9196;5005;;67;88;;;;;63,01%;;;59%;414247967;793468152;52%;22%;159;69;;89,96%
9;170014;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - EL BATÁN;-78,473506;-0,161853;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170114;JIPIJAPA;06:00 - 22:00;2025;Septiembre;12177;5440;;67;109;;;;;64,11%;;;59%;463720999;7,93468E+16;58%;21%;158;69;;89,96%
10;170014;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - EL BATÁN;-78,473506;-0,161853;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170114;JIPIJAPA;06:00 - 22:00;2025;Octubre;11946;5818;;61;136;;;;;58,06%;;;55%;527238039;793468152;66%;22%;159;70;;89,96%
11;170014;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - EL BATÁN;-78,473506;-0,161853;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170114;JIPIJAPA;06:00 - 22:00;2025;Noviembre;9012;5716;;43;83;;;;;61,29%;;;59%;6,08578E+15;7,93468E+16;77%;19%;161;70;;89,96%
12;170014;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - EL BATÁN;-78,473506;-0,161853;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170114;JIPIJAPA;06:00 - 22:00;2025;Diciembre;9825;6417;;53;91;;;;;65,73%;;;66%;;;;21%;159;70;;89,96%
13;170034;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - CENTRAL QUITO;-78,509115;-0,219961;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170103;SAN JUAN;06:00 - 16:30;2025;Enero;13913;6444;;71;235;;;;;65,34%;;;84%;5,00195E+16;9377967;5%;14%;230;50;;89,96%
14;170034;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - CENTRAL QUITO;-78,509115;-0,219961;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170103;SAN JUAN;06:00 - 16:30;2025;Febrero;13732;5738;;48;222;;;;;67,60%;;;82%;1,13187E+16;9,37797E+15;12%;15%;230;49;;89,96%
15;170034;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - CENTRAL QUITO;-78,509115;-0,219961;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170103;SAN JUAN;06:00 - 16:30;2025;Marzo;12626;6209;;95;211;;;;;72,80%;;;80%;1,83656E+16;9,94568E+15;18%;15%;232;49;;89,96%
16;170034;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - CENTRAL QUITO;-78,509115;-0,219961;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170103;SAN JUAN;06:00 - 16:30;2025;Abril;15616;6253;;40;235;;;;;72,91%;;;81%;2,8198E+15;9,95311E+15;28%;13%;231;50;;89,96%
17;170034;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - CENTRAL QUITO;-78,509115;-0,219961;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170103;SAN JUAN;06:00 - 16:30;2025;Mayo;14695;6715;;47;208;;;;;64,14%;;;81%;3,87609E+15;9,95311E+15;39%;13%;232;50;;89,96%
18;170034;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - CENTRAL QUITO;-78,509115;-0,219961;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170103;SAN JUAN;06:00 - 16:30;2025;Junio;14926;5901;;85;177;;;;;69,48%;;;82%;4,81064E+15;9,95311E+15;48%;15%;231;50;;89,96%
19;170034;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - CENTRAL QUITO;-78,509115;-0,219961;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170103;SAN JUAN;06:00 - 16:30;2025;Julio;15512;5311;;87;228;;;;;67,87%;;;80%;5,62005E+15;1,04744E+16;54%;15%;231;50;;89,96%
20;170034;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - CENTRAL QUITO;-78,509115;-0,219961;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170103;SAN JUAN;06:00 - 16:30;2025;Agosto;12235;4940;;85;172;;;;;66,27%;;;80%;6,46305E+15;1,14903E+16;56%;13%;231;46;;89,96%
21;170034;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - CENTRAL QUITO;-78,509115;-0,219961;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170103;SAN JUAN;06:00 - 16:30;2025;Septiembre;16656;5735;;70;232;;;;;66,67%;;;77%;7,09098E+15;1,14903E+16;62%;12%;232;46;;89,96%
22;170034;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - CENTRAL QUITO;-78,509115;-0,219961;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170103;SAN JUAN;06:00 - 16:30;2025;Octubre;16553;5778;;95;205;;;;;73,90%;;;77%;7,94199E+15;1,14885E+16;69%;12%;233;46;;89,96%
23;170034;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - CENTRAL QUITO;-78,509115;-0,219961;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170103;SAN JUAN;06:00 - 16:30;2025;Noviembre;12723;5449;;73;177;;;;;75,10%;;;76%;8,9111E+15;1148849594;78%;10%;231;46;;89,96%
24;170034;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - CENTRAL QUITO;-78,509115;-0,219961;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170103;SAN JUAN;06:00 - 16:30;2025;Diciembre;13298;6207;;67;156;;;;;79,92%;;;79%;;;;13%;231;46;;89,96%
25;170484;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - COTOCOLLAO;-78,493136;-0,13784;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170117;CONCEPCION;06:00 - 22:00;2025;Enero;19842;9907;;47;315;;;;;78,24%;;;88%;57709298;8366385;7%;26%;209;62;;89,96%
26;170484;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - COTOCOLLAO;-78,493136;-0,13784;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170117;CONCEPCION;06:00 - 22:00;2025;Febrero;20296;8856;;37;313;;;;;73,03%;;;83%;121318326;8366385;15%;19%;211;62;;89,96%
27;170484;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - COTOCOLLAO;-78,493136;-0,13784;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170117;CONCEPCION;06:00 - 22:00;2025;Marzo;18940;9708;;34;367;;;;;75,83%;;;82%;192222797;9,06069E+15;21%;20%;212;61;;89,96%
28;170484;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - COTOCOLLAO;-78,493136;-0,13784;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170117;CONCEPCION;06:00 - 22:00;2025;Abril;22663;9358;;53;373;;;;;82,63%;;;87%;2,71673E+16;9,06357E+15;30%;21%;211;61;;89,96%
29;170484;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - COTOCOLLAO;-78,493136;-0,13784;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170117;CONCEPCION;06:00 - 22:00;2025;Mayo;20707;10215;;51;322;;;;;86,02%;;;89%;3,41535E+16;9,2057E+15;37%;22%;213;61;;89,96%
30;170484;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - COTOCOLLAO;-78,493136;-0,13784;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170117;CONCEPCION;06:00 - 22:00;2025;Junio;21565;9720;;13;387;;;;;87,76%;;;90%;4,09046E+16;9,6557E+15;42%;24%;213;61;;89,96%
31;170484;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - COTOCOLLAO;-78,493136;-0,13784;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170117;CONCEPCION;06:00 - 22:00;2025;Julio;24179;8830;;55;327;;;;;82,91%;;;91%;479640818;9,6557E+15;50%;20%;211;61;;89,96%
32;170484;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - COTOCOLLAO;-78,493136;-0,13784;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170117;CONCEPCION;06:00 - 22:00;2025;Agosto;18736;7870;;73;291;;;;;86,44%;;;91%;5,64687E+15;9,6557E+15;58%;19%;211;54;;89,96%
33;170484;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - COTOCOLLAO;-78,493136;-0,13784;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170117;CONCEPCION;06:00 - 22:00;2025;Septiembre;22468;8224;;74;399;;;;;81,51%;;;91%;6,37305E+15;9,6557E+15;66%;20%;210;53;;89,96%
34;170484;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - COTOCOLLAO;-78,493136;-0,13784;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170117;CONCEPCION;06:00 - 22:00;2025;Octubre;21462;6948;;85;384;;;;;79,83%;;;89%;70477932;9,65937E+15;73%;22%;211;53;;89,96%
35;170484;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - COTOCOLLAO;-78,493136;-0,13784;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170117;CONCEPCION;06:00 - 22:00;2025;Noviembre;17100;7432;;99;409;;;;;77,31%;;;86%;8,09746E+15;9,65937E+15;84%;17%;213;53;;89,96%
36;170484;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - COTOCOLLAO;-78,493136;-0,13784;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170117;CONCEPCION;06:00 - 22:00;2025;Diciembre;19100;9786;;122;383;;;;;75,63%;;;90%;;;;19%;213;55;;89,96%
37;1110100000;HOSPITAL DE ESPECIALIDADES - CARLOS ANDRADE MARIN;-78,504466;-0,205105;RPIS;IESS;III NIVEL;HOSPITAL DE ESPECIALIDADES;17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170130;SAN JUAN;00:00 - 24:00;2025;Enero;45460;20653;2086;13;1282;529;517,2903226;92%;4,032551759;66,91%;;;64%;1,18095E+16;1,52924E+16;8%;13%;2999;706;;89,96%
38;1110100000;HOSPITAL DE ESPECIALIDADES - CARLOS ANDRADE MARIN;-78,504466;-0,205105;RPIS;IESS;III NIVEL;HOSPITAL DE ESPECIALIDADES;17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170130;SAN JUAN;00:00 - 24:00;2025;Febrero;44910;18893;2099;10;1240;522;513,5357143;100%;4,087349607;60,14%;;;62%;2,40589E+16;152924024;16%;12%;2991;707;;89,96%
39;1110100000;HOSPITAL DE ESPECIALIDADES - CARLOS ANDRADE MARIN;-78,504466;-0,205105;RPIS;IESS;III NIVEL;HOSPITAL DE ESPECIALIDADES;17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170130;SAN JUAN;00:00 - 24:00;2025;Marzo;40804;22755;2136;18;1321;521;506,9032258;100%;4,213822069;62,54%;;;62%;3865124295;15291476085;25%;12%;2988;705;;89,96%
40;1110100000;HOSPITAL DE ESPECIALIDADES - CARLOS ANDRADE MARIN;-78,504466;-0,205105;RPIS;IESS;III NIVEL;HOSPITAL DE ESPECIALIDADES;17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170130;SAN JUAN;00:00 - 24:00;2025;Abril;47431;19945;2182;16;1387;521;505,3703704;100%;4,317625504;58,80%;;;67%;5209510801;1587287356;33%;13%;2998;707;;89,96%
41;1110100000;HOSPITAL DE ESPECIALIDADES - CARLOS ANDRADE MARIN;-78,504466;-0,205105;RPIS;IESS;III NIVEL;HOSPITAL DE ESPECIALIDADES;17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170130;SAN JUAN;00:00 - 24:00;2025;Mayo;45683;20430;2222;18;1363;521;505,4516129;100%;4,396068671;58,25%;;;68%;6399253976;1,63631E+16;39%;14%;3000;708;;89,96%
42;1110100000;HOSPITAL DE ESPECIALIDADES - CARLOS ANDRADE MARIN;-78,504466;-0,205105;RPIS;IESS;III NIVEL;HOSPITAL DE ESPECIALIDADES;17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170130;SAN JUAN;00:00 - 24:00;2025;Junio;48945;19453;2142;22;1350;521;505,3666667;100%;4,238506695;57,12%;;;69%;7,85007E+15;1,7055E+16;46%;14%;2996;704;;89,96%
43;1110100000;HOSPITAL DE ESPECIALIDADES - CARLOS ANDRADE MARIN;-78,504466;-0,205105;RPIS;IESS;III NIVEL;HOSPITAL DE ESPECIALIDADES;17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170130;SAN JUAN;00:00 - 24:00;2025;Julio;52422;19909;2240;32;1398;521;502,3548387;100%;4,458999551;59,28%;;;67%;9,28037E+15;1,78549E+15;52%;13%;2751;703;;89,96%
44;1110100000;HOSPITAL DE ESPECIALIDADES - CARLOS ANDRADE MARIN;-78,504466;-0,205105;RPIS;IESS;III NIVEL;HOSPITAL DE ESPECIALIDADES;17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170130;SAN JUAN;00:00 - 24:00;2025;Agosto;45471;18674;2143;18;1260;519;501,0322581;100%;4,277169714;61,76%;;;70%;1,07804E+16;1,78549E+16;60%;13%;2745;667;;89,96%
45;1110100000;HOSPITAL DE ESPECIALIDADES - CARLOS ANDRADE MARIN;-78,504466;-0,205105;RPIS;IESS;III NIVEL;HOSPITAL DE ESPECIALIDADES;17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170130;SAN JUAN;00:00 - 24:00;2025;Septiembre;53105;19519;2187;22;1390;518;500;100%;4,374;63,91%;;;70%;1,21035E+16;1,80133E+15;67%;14%;2735;655;;89,96%
46;1110100000;HOSPITAL DE ESPECIALIDADES - CARLOS ANDRADE MARIN;-78,504466;-0,205105;RPIS;IESS;III NIVEL;HOSPITAL DE ESPECIALIDADES;17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170130;SAN JUAN;00:00 - 24:00;2025;Octubre;51901;20208;2077;15;1294;515;501,3333333;100%;4,142952128;60,45%;;;68%;13737666466;1,80128E+15;76%;14%;2743;661;;89,96%
47;1110100000;HOSPITAL DE ESPECIALIDADES - CARLOS ANDRADE MARIN;-78,504466;-0,205105;RPIS;IESS;III NIVEL;HOSPITAL DE ESPECIALIDADES;17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170130;SAN JUAN;00:00 - 24:00;2025;Noviembre;44959;20890;1931;23;1186;515;496,2;100%;3,891575977;59,63%;;;70%;15824273942;1,80128E+16;88%;12%;2739;655;;89,96%
48;1110100000;HOSPITAL DE ESPECIALIDADES - CARLOS ANDRADE MARIN;-78,504466;-0,205105;RPIS;IESS;III NIVEL;HOSPITAL DE ESPECIALIDADES;17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170130;SAN JUAN;00:00 - 24:00;2025;Diciembre;49739;22486;2116;8;1180;515;502,3548387;100%;4,212162075;58,74%;;;71%;;;;12%;2732;655;;89,96%
49;1220200000;HOSPITAL DE ESPECIALIDADES - TEODORO MALDONADO CARBO;-79,898543;-2,231383;RPIS;IESS;III NIVEL;HOSPITAL DE ESPECIALIDADES;9;GUAYAS;901;GUAYAQUIL;90114;XIMENA;00:00 - 24:00;2025;Enero;33072;8386;1091;563;918;356;319,6451613;75%;3,413159754;48,02%;;;63%;52561248;1,09898E+16;5%;18%;2091;656;;89,96%
50;1220200000;HOSPITAL DE ESPECIALIDADES - TEODORO MALDONADO CARBO;-79,898543;-2,231383;RPIS;IESS;III NIVEL;HOSPITAL DE ESPECIALIDADES;9;GUAYAS;901;GUAYAQUIL;90114;XIMENA;00:00 - 24:00;2025;Febrero;32277;8483;1211;625;970;351;321,8928571;100%;3,76212138;43,61%;;;60%;1,32136E+16;109898156;12%;17%;2084;654;;89,96%
51;1220200000;HOSPITAL DE ESPECIALIDADES - TEODORO MALDONADO CARBO;-79,898543;-2,231383;RPIS;IESS;III NIVEL;HOSPITAL DE ESPECIALIDADES;9;GUAYAS;901;GUAYAQUIL;90114;XIMENA;00:00 - 24:00;2025;Marzo;25695;9954;1088;487;898;351;314,2258065;85%;3,462478185;41,95%;;;59%;2,18556E+16;1114600344;20%;18%;2077;655;;89,96%
52;1220200000;HOSPITAL DE ESPECIALIDADES - TEODORO MALDONADO CARBO;-79,898543;-2,231383;RPIS;IESS;III NIVEL;HOSPITAL DE ESPECIALIDADES;9;GUAYAS;901;GUAYAQUIL;90114;XIMENA;00:00 - 24:00;2025;Abril;31501;9984;1180;471;961;351;312,4074074;94%;3,777119146;47,62%;;;64%;3,29339E+16;1,11548E+16;30%;17%;2083;649;;89,96%
53;1220200000;HOSPITAL DE ESPECIALIDADES - TEODORO MALDONADO CARBO;-79,898543;-2,231383;RPIS;IESS;III NIVEL;HOSPITAL DE ESPECIALIDADES;9;GUAYAS;901;GUAYAQUIL;90114;XIMENA;00:00 - 24:00;2025;Mayo;33631;10227;1248;402;1067;351;323,0322581;100%;3,863391252;42,93%;;;65%;4,32327E+16;11504674858;38%;16%;2135;651;;89,96%
54;1220200000;HOSPITAL DE ESPECIALIDADES - TEODORO MALDONADO CARBO;-79,898543;-2,231383;RPIS;IESS;III NIVEL;HOSPITAL DE ESPECIALIDADES;9;GUAYAS;901;GUAYAQUIL;90114;XIMENA;00:00 - 24:00;2025;Junio;35385;10774;1254;328;1077;355;327,6;99%;3,827838828;42,19%;;;64%;5408206489;1,20173E+16;45%;16%;2120;648;;89,96%
